primaryTitle,Release Date,startYear,month,season,runtimeMinutes,genres,MPAA Rating,is_original,is_franchise,averageRating,numVotes,performance
The Tax Collector,8/7/2020,2020,8,Summer,95,"Action,Crime,Drama",R,1,0,4.9,17115,cinema-flop
The Man in the Hat,9/18/2020,2020,9,Fall/Autumn,95,"Comedy,Drama",NR,1,0,6.4,1222,cinema-flop
Rogue City,10/30/2020,2020,10,Fall/Autumn,116,"Action,Crime,Drama",TV-MA,0,0,6.1,10719,cinema-flop
Host,12/1/2020,2020,12,Winter,57,"Horror,Mystery",NR,1,0,6.5,49665,cinema-hit
The Reckoning,2/5/2021,2021,2,Winter,88,"Drama,Mystery,Thriller",NR,1,0,6.7,1460,cinema-flop
The House Next Door: Meet the Blacks 2,6/11/2021,2021,6,Summer,97,"Action,Comedy,Horror",R,1,1,4.1,2595,cinema-flop
Annaatthe,11/4/2021,2021,11,Fall/Autumn,163,"Action,Comedy,Drama",NR,0,0,4,11436,cinema-flop
Terrifier 2,10/6/2022,2022,10,Fall/Autumn,138,Horror,NR,1,1,6,81250,cinema-hit
The Lair,10/28/2022,2022,10,Fall/Autumn,97,"Action,Horror,Sci-Fi",NR,1,0,4.6,6762,cinema-flop
Jeanne du Barry,5/16/2023,2023,5,Spring,117,"Biography,Drama,History",NR,0,0,6.7,16228,cinema-flop
Dicks: The Musical,10/6/2023,2023,10,Fall/Autumn,86,"Comedy,Musical",R,1,0,5.3,4034,cinema-flop
Hanu Man,1/11/2024,2024,1,Winter,158,"Action,Adventure,Fantasy",PG-13,1,0,7.7,30308,cinema-hit
Devara Part 1,9/27/2024,2024,9,Fall/Autumn,176,"Action,Adventure,Drama",TV-MA,1,0,6,23325,cinema-flop
PAW Patrol: The Movie,8/11/2021,2021,8,Summer,86,"Action,Adventure,Animation",G,0,1,6.1,9524,cinema-hit
The Wretched,5/1/2020,2020,5,Spring,95,Horror,NR,1,0,4.9,44,cinema-hit
Terrifier 3,10/9/2024,2024,10,Fall/Autumn,125,Horror,NR,1,1,6.2,61504,cinema-hit
The Call of the Wild,1/3/2020,2020,1,Winter,100,"Adventure,Drama,Family",PG,0,0,6.7,63789,cinema-flop
Dolittle,1/8/2020,2020,1,Winter,101,"Adventure,Comedy,Family",PG,0,0,5.6,78492,cinema-flop
Emma.,2/13/2020,2020,2,Winter,124,"Comedy,Drama,Romance",PG,0,0,6.7,70923,cinema-hit
Onward,2/28/2020,2020,2,Winter,102,"Adventure,Animation,Comedy",PG,1,0,7.4,184929,cinema-flop
I Still Believe,3/11/2020,2020,3,Spring,116,"Biography,Drama,Music",PG,0,1,6.5,15258,cinema-flop
Summerland,6/24/2020,2020,6,Summer,80,"Comedy,Drama",PG,1,0,5.9,122,cinema-flop
