Title,Release date,Year,Month,Season,runTime,Genre,MPAA_Rating,is_original,is_franchise,averageRating,numVotes,performance,Original,Franchise
Ghost Stories,1/1/2020,2020,1,Winter,144,Horror anthology,NR,0,0,4.5,6261,Streaming-flop,Non-Original,Non-Francise
A Fall from Grace,1/17/2020,2020,1,Winter,120,Thriller,NR,0,0,5.9,18626,Streaming-flop,Non-Original,Non-Francise
Airplane Mode,1/23/2020,2020,1,Winter,96,Comedy,NR,0,0,5.2,3235,Streaming-flop,Non-Original,Non-Francise
Horse Girl,2/7/2020,2020,2,Winter,104,Psychological drama,R,0,0,6,21793,Streaming-flop,Non-Original,Non-Francise
To All the Boys: P.S. I Still Love You,2/12/2020,2020,2,Winter,102,Teen romantic comedy,PG-13,0,1,6.1,53000,Streaming-flop,Non-Original,Francise
Isi & Ossi,2/14/2020,2020,2,Winter,113,Romantic comedy,Not Rated,0,0,6.4,11398,Streaming-flop,Non-Original,Non-Francise
The Last Thing He Wanted,2/21/2020,2020,2,Winter,115,Political thriller,R,0,0,4.4,17351,Streaming-flop,Non-Original,Non-Francise
Yeh Ballet,2/21/2020,2020,2,Winter,117,Drama,PG-13,0,0,7.5,1628,Streaming-flop,Non-Original,Non-Francise
All the Bright Places,2/28/2020,2020,2,Winter,108,Teen romance,R,0,0,6.6,44174,Streaming-flop,Non-Original,Non-Francise
Guilty,3/6/2020,2020,3,Spring,119,Thriller drama,Not Rated,0,0,5.4,4961,Streaming-flop,Non-Original,Non-Francise
Spenser Confidential,3/6/2020,2020,3,Spring,111,Action comedy,R,0,0,6.2,105879,Streaming-flop,Non-Original,Non-Francise
Lost Girls,3/13/2020,2020,3,Spring,95,Crime drama,R,0,0,6.2,27143,Streaming-flop,Non-Original,Non-Francise
Ultras,3/20/2020,2020,3,Spring,109,Sports,Not Rated,0,0,6.2,5813,Streaming-flop,Non-Original,Non-Francise
The Occupant,3/25/2020,2020,3,Spring,103,Thriller,R,0,0,6.4,21399,Streaming-flop,Non-Original,Non-Francise
Maska,3/27/2020,2020,3,Spring,111,Romantic comedy,Not Rated,0,0,5.9,1631,Streaming-flop,Non-Original,Non-Francise
The Decline,3/27/2020,2020,3,Spring,83,Action thriller,R,0,0,6,10556,Streaming-flop,Non-Original,Non-Francise
Uncorked,3/27/2020,2020,3,Spring,104,Drama,Not Rated,0,0,6.4,7421,Streaming-flop,Non-Original,Non-Francise
Coffee & Kareem,4/3/2020,2020,4,Spring,88,Action comedy,R,0,0,5.2,15285,Streaming-flop,Non-Original,Non-Francise
The Main Event,4/10/2020,2020,4,Spring,103,Sports comedy,Not Rated,0,0,4.8,2930,Streaming-flop,Non-Original,Non-Francise
Love Wedding Repeat,4/10/2020,2020,4,Spring,100,Romantic comedy,Not Rated,0,0,5.6,23163,Streaming-flop,Non-Original,Non-Francise
Tigertail,4/10/2020,2020,4,Spring,91,Drama,PG,0,0,6.6,3995,Streaming-flop,Non-Original,Non-Francise
