,Title,Release date,Year,Month,Season,runTime,Genre,MPAA_Rating,is_original,is_franchise,averageRating,numVotes,total_weeks,performance
0,Ghost Stories,1/1/2020,2020,1,Winter,144,Horror anthology,NR,0,0,4.5,6261,0,Streaming-flop
1,A Fall from Grace,1/17/2020,2020,1,Winter,120,Thriller,NR,0,0,5.9,18626,0,Streaming-flop
2,Airplane Mode,1/23/2020,2020,1,Winter,96,Comedy,NR,0,0,5.2,3235,0,Streaming-flop
3,Horse Girl,2/7/2020,2020,2,Winter,104,Psychological drama,R,0,0,6,21793,0,Streaming-flop
4,To All the Boys: P.S. I Still Love You,2/12/2020,2020,2,Winter,102,Teen romantic comedy,PG-13,0,1,6.1,53000,0,Streaming-flop
5,Isi & Ossi,2/14/2020,2020,2,Winter,113,Romantic comedy,Not Rated,0,0,6.4,11398,0,Streaming-flop
6,The Last Thing He Wanted,2/21/2020,2020,2,Winter,115,Political thriller,R,0,0,4.4,17351,0,Streaming-flop
7,Yeh Ballet,2/21/2020,2020,2,Winter,117,Drama,PG-13,0,0,7.5,1628,0,Streaming-flop
8,All the Bright Places,2/28/2020,2020,2,Winter,108,Teen romance,R,0,0,6.6,44174,0,Streaming-flop
9,Guilty,3/6/2020,2020,3,Spring,119,Thriller drama,Not Rated,0,0,5.4,4961,0,Streaming-flop
10,Spenser Confidential,3/6/2020,2020,3,Spring,111,Action comedy,R,0,0,6.2,105879,0,Streaming-flop
11,Lost Girls,3/13/2020,2020,3,Spring,95,Crime drama,R,0,0,6.2,27143,0,Streaming-flop
12,Ultras,3/20/2020,2020,3,Spring,109,Sports,Not Rated,0,0,6.2,5813,0,Streaming-flop
13,The Occupant,3/25/2020,2020,3,Spring,103,Thriller,R,0,0,6.4,21399,0,Streaming-flop
14,Maska,3/27/2020,2020,3,Spring,111,Romantic comedy,Not Rated,0,0,5.9,1631,0,Streaming-flop
15,The Decline,3/27/2020,2020,3,Spring,83,Action thriller,R,0,0,6,10556,0,Streaming-flop
16,Uncorked,3/27/2020,2020,3,Spring,104,Drama,Not Rated,0,0,6.4,7421,0,Streaming-flop
17,Coffee & Kareem,4/3/2020,2020,4,Spring,88,Action comedy,R,0,0,5.2,15285,0,Streaming-flop
