Title,Release date,Year,Month,Season,runTime,Genre,MPAA_Rating,is_original,is_franchise,averageRating,numVotes,performance,distributor,Original,Franchise,combined,commitment_logic,conveninec logic,quadrant
Ghost Stories,1/1/2020,2020,1,Winter,144,Horror anthology,NR,0,0,4.5,6261,Streaming-flop,streaming,non-original,non-franchise,new,0.003369034,0.309586466,Scenario 2: Weak Commitment/Convenience
A Fall from Grace,1/17/2020,2020,1,Winter,120,Thriller,NR,0,0,5.9,18626,Streaming-flop,streaming,non-original,non-franchise,new,0.008352184,0.48575188,Scenario 2: Weak Commitment/Convenience
Airplane Mode,1/23/2020,2020,1,Winter,96,Comedy,NR,0,0,5.2,3235,Streaming-flop,streaming,non-original,non-franchise,new,0.001160499,0.498496241,Scenario 2: Weak Commitment/Convenience
Horse Girl,2/7/2020,2020,2,Winter,104,Psychological drama,R,0,0,6,21793,Streaming-flop,streaming,non-original,non-franchise,new,0.00846934,0.548120301,Scenario 3: Strong Convenience
To All the Boys: P.S. I Still Love You,2/12/2020,2020,2,Winter,102,Teen romantic comedy,PG-13,0,1,6.1,53000,Streaming-flop,streaming,non-original,franchise,old,0.030301668,0.376090226,Scenario 1: Strong Commitment
Isi & Ossi,2/14/2020,2020,2,Winter,113,Romantic comedy,Not Rated,0,0,6.4,11398,Streaming-flop,streaming,non-original,non-franchise,new,0.004812894,0.552180451,Scenario 3: Strong Convenience
The Last Thing He Wanted,2/21/2020,2020,2,Winter,115,Political thriller,R,0,0,4.4,17351,Streaming-flop,streaming,non-original,non-franchise,new,0.007456269,0.374661654,Scenario 2: Weak Commitment/Convenience
Yeh Ballet,2/21/2020,2020,2,Winter,117,Drama,PG-13,0,0,7.5,1628,Streaming-flop,streaming,non-original,non-franchise,new,0.00071177,0.630169173,Scenario 3: Strong Convenience
All the Bright Places,2/28/2020,2020,2,Winter,108,Teen romance,R,0,0,6.6,44174,Streaming-flop,streaming,non-original,non-franchise,new,0.01782747,0.588045113,Scenario 3: Strong Convenience
Guilty,3/6/2020,2020,3,Spring,119,Thriller drama,Not Rated,0,0,5.4,4961,Streaming-flop,streaming,non-original,non-franchise,new,0.00220605,0.447631579,Scenario 2: Weak Commitment/Convenience
Spenser Confidential,3/6/2020,2020,3,Spring,111,Action comedy,R,0,0,6.2,105879,Streaming-flop,streaming,non-original,non-franchise,new,0.043916937,0.541917293,Scenario 4: Hybrid Logic
Lost Girls,3/13/2020,2020,3,Spring,95,Crime drama,R,0,0,6.2,27143,Streaming-flop,streaming,non-original,non-franchise,new,0.009635643,0.597857143,Scenario 3: Strong Convenience
Ultras,3/20/2020,2020,3,Spring,109,Sports,Not Rated,0,0,6.2,5813,Streaming-flop,streaming,non-original,non-franchise,new,0.002367697,0.548909774,Scenario 3: Strong Convenience
The Occupant,3/25/2020,2020,3,Spring,103,Thriller,R,0,0,6.4,21399,Streaming-flop,streaming,non-original,non-franchise,new,0.008236258,0.588270677,Scenario 3: Strong Convenience
Maska,3/27/2020,2020,3,Spring,111,Romantic comedy,Not Rated,0,0,5.9,1631,Streaming-flop,streaming,non-original,non-franchise,new,0.000676513,0.515695489,Scenario 3: Strong Convenience
The Decline,3/27/2020,2020,3,Spring,83,Action thriller,R,0,0,6,10556,Streaming-flop,streaming,non-original,non-franchise,new,0.003273985,0.619172932,Scenario 3: Strong Convenience
Uncorked,3/27/2020,2020,3,Spring,104,Drama,Not Rated,0,0,6.4,7421,Streaming-flop,streaming,non-original,non-franchise,new,0.002883998,0.584661654,Scenario 3: Strong Convenience
