,Title,Release date,Genre,runTime,distributor,averageRating,numVotes,tconst,MPAA_Rating,is_sequel,is_franchise,is_adaptation,is_remake,budget,revenue,is_original,total_weeks,performance
0,Ghost Stories,2020-01-01,Horror anthology,144,Streaming,4.5,6261.0,tt10230404,NR,0,0,0,0,0,0,original,0.0,Streaming-flop
1,A Fall from Grace,2020-01-17,Thriller,120,Streaming,5.9,18626.0,tt11390036,NR,0,0,0,0,0,0,original,0.0,Streaming-flop
2,Airplane Mode,2020-01-23,Comedy,96,Streaming,5.2,3235.0,tt10731748,NR,0,0,0,0,0,0,original,0.0,Streaming-flop
3,Horse Girl,2020-02-07,Psychological drama,104,Streaming,6.0,21793.0,tt11388406,R,0,0,0,0,0,0,original,0.0,Streaming-flop
4,To All the Boys: P.S. I Still Love You,2020-02-12,Teen romantic comedy,102,Streaming,6.1,53000.0,tt9354842,PG-13,1,1,0,0,0,0,non-original,0.0,Streaming-flop
5,Isi & Ossi,2020-02-14,Romantic comedy,113,Streaming,6.4,11398.0,tt9806322,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
6,The Last Thing He Wanted,2020-02-21,Political thriller,115,Streaming,4.4,17351.0,tt7456312,R,0,0,0,0,0,0,original,0.0,Streaming-flop
7,Yeh Ballet,2020-02-21,Drama,117,Streaming,7.5,1628.0,tt10230436,PG-13,0,0,0,0,0,0,original,0.0,Streaming-flop
8,All the Bright Places,2020-02-28,Teen romance,108,Streaming,6.6,44174.0,tt3907584,R,0,0,0,0,0,0,original,0.0,Streaming-flop
9,Guilty,2020-03-06,Thriller drama,119,Streaming,5.4,4961.0,tt10062614,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
10,Spenser Confidential,2020-03-06,Action comedy,111,Streaming,6.2,105879.0,tt8629748,R,0,0,0,0,0,0,original,0.0,Streaming-flop
11,Lost Girls,2020-03-13,Crime drama,95,Streaming,6.2,27143.0,tt3111426,R,0,0,0,0,0,0,original,0.0,Streaming-flop
12,Ultras,2020-03-20,Sports,109,Streaming,6.2,5813.0,tt10937434,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
13,The Occupant,2020-03-25,Thriller,103,Streaming,6.4,21399.0,tt9345754,R,0,0,0,0,0,0,original,0.0,Streaming-flop
14,Maska,2020-03-27,Romantic comedy,111,Streaming,5.9,1631.0,tt11953628,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
15,The Decline,2020-03-27,Action thriller,83,Streaming,6.0,10556.0,tt10307440,R,0,0,0,0,0,0,original,0.0,Streaming-flop
16,Uncorked,2020-03-27,Drama,104,Streaming,6.4,7421.0,tt9261218,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
17,Coffee & Kareem,2020-04-03,Action comedy,88,Streaming,5.2,15285.0,tt9898858,R,0,0,0,0,0,0,original,0.0,Streaming-flop
18,The Main Event,2020-04-10,Sports comedy,103,Streaming,4.8,2930.0,tt10540242,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
19,Love Wedding Repeat,2020-04-10,Romantic comedy,100,Streaming,5.6,23163.0,tt5096470,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
20,Tigertail,2020-04-10,Drama,91,Streaming,6.6,3995.0,tt8902948,PG,0,0,0,0,0,0,original,0.0,Streaming-flop
21,Earth and Blood,2020-04-17,Action,80,Streaming,5.2,3068.0,tt10092752,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
22,Rising High,2020-04-17,Satire drama,94,Streaming,6.0,6144.0,tt9806336,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
23,Sergio,2020-04-17,Biopic,118,Streaming,6.2,11933.0,tt8750570,R,0,0,0,0,16000000,0,original,0.0,Streaming-flop
24,The Willoughbys,2020-04-22,Animated comedy,92,Streaming,6.4,23312.0,tt5206260,PG,0,0,0,0,0,0,original,0.0,Streaming-flop
25,Time to Hunt,2020-04-23,Action thriller,135,Streaming,6.3,7670.0,tt11777040,Not Rated,0,0,0,0,9070000,0,original,0.0,Streaming-flop
26,Extraction,2020-04-24,Action,117,Streaming,6.8,287546.0,tt8936646,R,0,0,1,0,65000000,0,non-original,3.0,Streaming-flop
27,Dangerous Lies,2020-04-30,Thriller,97,Streaming,5.4,19953.0,tt10183816,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
28,Rich in Love,2020-04-30,Romantic comedy,105,Streaming,,,,,0,0,0,0,0,0,original,0.0,Streaming-flop
29,All Day and a Night,2020-05-01,Drama,121,Streaming,6.0,4802.0,tt3993886,R,0,0,0,0,0,0,original,0.0,Streaming-flop
30,Mrs. Serial Killer,2020-05-01,Crime,107,Streaming,4.0,19136.0,tt10230426,Not Rated,0,0,0,0,0,0,original,0.0,Streaming-flop
31,The Half of It,2020-05-01,Teen romance,105,Streaming,6.9,47033.0,tt9683478,PG-13,0,0,0,0,0,0,original,0.0,Streaming-flop
32,The Wrong Missy,2020-05-13,Black comedy,90,Streaming,5.8,50196.0,tt9619798,R,0,0,0,0,0,0,original,0.0,Streaming-flop
33,The Lovebirds,2020-05-22,Romantic comedy,87,Streaming,6.1,29043.0,tt8851668,R,0,0,0,0,0,0,original,0.0,Streaming-flop
